ID,FK_ZAEHLER,DATE,VELO_IN,VELO_OUT,FUSS_IN,FUSS_OUT
344354,ECO09113499,2019-04-08 06:15:00,8.0,2.0,0.0,0.0
344355,Y2H16039396,2019-04-08 06:15:00,3.0,4.0,0.0,0.0
344356,U15G3063866,2019-04-08 06:15:00,0.0,0.0,37.0,6.0
344357,Y2H16069942,2019-04-08 06:15:00,2.0,1.0,0.0,0.0
344358,Y2H16069943,2019-04-08 06:15:00,10.0,3.0,0.0,0.0
344359,U15G3063867,2019-04-08 06:15:00,0.0,0.0,12.0,10.0
344360,U15G3063869,2019-04-08 06:15:00,0.0,0.0,1.0,1.0
344361,U15G3063870,2019-04-08 06:15:00,0.0,0.0,1.0,1.0
344362,YSH18065716,2019-04-08 06:15:00,0.0,0.0,2.0,1.0
344363,U15G3104442,2019-04-08 06:15:00,0.0,0.0,3.0,4.0
344364,U15G3063872,2019-04-08 06:15:00,0.0,0.0,14.0,19.0
344365,U15G3104443,2019-04-08 06:15:00,0.0,0.0,2.0,0.0
344366,U15G3104444,2019-04-08 06:15:00,0.0,0.0,12.0,8.0
344367,U15G3104445,2019-04-08 06:15:00,0.0,0.0,1.0,5.0
344368,U15G3104446,2019-04-08 06:15:00,0.0,0.0,1.0,1.0
344369,ECO09113506,2019-04-08 06:15:00,0.0,1.0,0.0,0.0
344370,Y2G13124875,2019-04-08 06:15:00,1.0,2.0,0.0,0.0
344371,Y0412032046,2019-04-08 06:15:00,0.0,0.0,0.0,1.0
344372,Y2G13124877,2019-04-08 06:15:00,1.0,0.0,0.0,0.0
344373,Y2G13124876,2019-04-08 06:15:00,2.0,2.0,0.0,0.0
344374,Y0410090357,2019-04-08 06:15:00,2.0,0.0,1.0,2.0
344375,U15G6121229,2019-04-08 06:15:00,0.0,0.0,1.0,4.0
344376,Y2G13124878,2019-04-08 06:15:00,3.0,1.0,0.0,0.0
344377,Y2H18106793,2019-04-08 06:15:00,4.0,9.0,0.0,0.0
344378,U15G3063873,2019-04-08 06:15:00,0.0,0.0,0.0,0.0
344379,Y2G13124879,2019-04-08 06:15:00,4.0,1.0,0.0,0.0
344380,Y2G14045586,2019-04-08 06:15:00,7.0,0.0,0.0,0.0
344381,Y2H18106792,2019-04-08 06:15:00,10.0,2.0,0.0,0.0
344382,YPH15108550,2019-04-08 06:15:00,0.0,0.0,2.0,5.0
344383,Y2G14045587,2019-04-08 06:15:00,4.0,0.0,0.0,0.0
344384,U15G3063864,2019-04-08 06:15:00,0.0,0.0,3.0,4.0
